,model_name,start_weights,target_dataset,f1_macro,accuracy,cohen_kappa,roc_auc_ovr,roc_auc_ovo
0,SVC|SSL,,california01_npz,0.8088258123626232,0.8829340962781508,0.8628449934234658,0.9851116786552776,0.9741824083899729
1,LGBM,,california01_npz,0.7695766377634092,0.8896721955233091,0.8706125565327215,0.982914366451295,0.9671616065479405
2,RF,,california01_npz,0.7359152789408998,0.8725963186665918,0.8504503573114426,0.9810641931952627,0.97344321171369
3,SVC,,california01_npz,0.7297183580232985,0.8623146399386652,0.8389524268581743,0.9667377270034455,0.9416305807451615
4,bert-pretrained,california,california01_npz,0.7217418994300532,0.8581851387824049,0.8347021566571017,0.9798711856002734,0.9725628222820576
5,LGBM|SSL,,california01_npz,0.67945054662794,0.8361974930032225,0.8071790865002285,0.9692039483513951,0.9424452634215162
6,bert,,california01_npz,0.6322451135771414,0.8222475706066783,0.7924390516666231,0.9653351543082463,0.953488900232858
7,RF|SSL,,california01_npz,0.5946789564077595,0.8089178525347346,0.7735515153533571,0.9695065603605197,0.9530635084327863
8,bert-pretrained,california,california10_npz,0.9463875702754851,0.9662485808929877,0.9606288206864919,0.9986101446036318,0.9979506984323809
9,SVC,,california10_npz,0.9382238695151174,0.9624422637284024,0.9561472658459023,0.9973948840226357,0.9956574226672479
10,bert,,california10_npz,0.9276428751869662,0.9568863625760097,0.9497822763716605,0.998126391828165,0.9978938887370362
11,RF,,california10_npz,0.9253980399868772,0.950362358283697,0.9420033601116468,0.9961407177421615,0.9952097921760321
12,SVC|SSL,,california10_npz,0.9239049310467354,0.9447170339497053,0.9354327654567285,0.9967263972602398,0.9957514836562377
13,LGBM|SSL,,california10_npz,0.8690350710696909,0.9291885040668107,0.9171905354682659,0.9882295500028949,0.9857798655494915
14,RF|SSL,,california10_npz,0.8635082277182402,0.9022876782631686,0.8854391351086829,0.9911885496851124,0.9882059944950261
15,LGBM,,california10_npz,0.75032228785785,0.8716660705121226,0.8506450378265099,0.8822375028344839,0.8883867820961306
16,SVC|SSL,,california1_npz,0.8947769085732936,0.9297881456796001,0.9179540022650285,0.9947215267528196,0.9918752716727319
17,LGBM,,california1_npz,0.8817074533015619,0.9409346980877569,0.9309436568711132,0.9949499580298763,0.9909828380213356
18,SVC,,california1_npz,0.8765089317827012,0.9373799888915337,0.9268010883437214,0.9941986526894958,0.9879211003061071
19,RF,,california1_npz,0.8632747214416528,0.9209902404189478,0.9075640132045498,0.9922224935432239,0.9894305689115842
20,bert-pretrained,california,california1_npz,0.8567303818531811,0.918584464016504,0.9052227977299503,0.994880702762943,0.9923823243564582
21,RF|SSL,,california1_npz,0.7984636065662274,0.8721574228358328,0.8496870288187389,0.9864532036572625,0.9798960219462542
22,bert,,california1_npz,0.7335574832661128,0.8584717924303737,0.8343469579719114,0.9841845253002587,0.9809000171238978
23,LGBM|SSL,,california1_npz,0.19496426914924586,0.30438784416408793,0.19406554754348004,0.5724949958708285,0.5698802381587674
24,bert-pretrained,california,california_npz,0.9598365264829114,0.9742927792724841,0.9700250935608075,0.9991636615307221,0.9992044168175344
25,SVC,,california_npz,0.9527820136455352,0.9674344100402793,0.9619934751520879,0.998081694748767,0.997174325057074
26,bert,,california_npz,0.9450178483151868,0.9692850811029378,0.9641660905238036,0.998987837371445,0.9987727318717214
27,RF,,california_npz,0.9441589695306318,0.9604205222313805,0.9537817903515264,0.9970849096622112,0.996577354480154
28,SVC|SSL,,california_npz,0.9312704798442708,0.9499230183045365,0.9415387269073568,0.9972935719328303,0.9964909144164454
29,bert,pastis_npz,california_npz,0.9217127755215346,0.9597984479246046,0.9531707563643796,0.9983857404347496,0.9984546632599677
30,bert,bert_npz,california_npz,0.9052325555953186,0.9545263681746785,0.9470754771172598,0.997987840049409,0.99830550661714
31,RF|SSL,,california_npz,0.8804496250185375,0.9132361860624252,0.89836947288902,0.9926574032149622,0.9902703712459835
32,bert,texas_npz,california_npz,0.8505758616399399,0.9309497519478702,0.919795482256014,0.9964481267412789,0.9972871722712879
33,LGBM,,california_npz,0.82747072315283,0.9194413772725152,0.9060306707081932,0.920287182463856,0.9237939023267877
34,LGBM|SSL,,california_npz,0.7939494541540117,0.8975599135316713,0.8806330257195923,0.9513280958755834,0.9465863077209958
35,bert,former_npz,california_npz,0.7295355362453427,0.7705945475187012,0.7433491980589082,0.9912093772626853,0.9946370975300128
36,SVC,,texas01_npz,0.7572251143260331,0.9074208838974883,0.8733499497703198,0.9710879336604846,0.9557697338629774
37,LGBM,,texas01_npz,0.7540028024884864,0.934154160848101,0.9094711541602788,0.9820043869467029,0.9692966550684584
38,SVC|SSL,,texas01_npz,0.7046144229143952,0.8891174792990185,0.8475031905962918,0.9600379672079061,0.9251493332033812
39,bert-pretrained,texas,texas01_npz,0.7007525194342682,0.9016580453553095,0.8661255480392555,0.958771426530052,0.9361813534327894
40,RF,,texas01_npz,0.6443972354916995,0.9160238380898059,0.8837856764306032,0.9798737710379906,0.9697480093546839
41,LGBM|SSL,,texas01_npz,0.6298857529464523,0.8957535943984423,0.8561218257768639,0.9632843101724149,0.9266442252811652
42,bert,,texas01_npz,0.6246711591406985,0.8466534232834412,0.789302546044016,0.9576144105244634,0.9381128100489668
43,RF|SSL,,texas01_npz,0.49081775031855834,0.8571248746140079,0.8002819540148993,0.9501913967157493,0.9226634438561099
44,bert,,texas10_npz,0.9594773750163421,0.9866130140347433,0.9817940717292462,0.9988735573139182,0.9984686602543019
45,bert-pretrained,texas,texas10_npz,0.958868711860827,0.9848611247423692,0.9794619692703154,0.9985951935198036,0.9985121477582749
46,LGBM,,texas10_npz,0.9540064559700284,0.986274413583276,0.9813103265132609,0.9990608864258806,0.9984978194379733
47,SVC,,texas10_npz,0.9416110273482341,0.9794876827951713,0.9720560361844943,0.9970704167199643,0.9958925035338634
48,RF,,texas10_npz,0.9255252336954768,0.9772745117283345,0.9690062844411681,0.9973400100290759,0.9958620134883421
49,SVC|SSL,,texas10_npz,0.9062755636282473,0.9671164981843164,0.9551565586813053,0.9951710743270828,0.9928869898197578
50,LGBM|SSL,,texas10_npz,0.8669583600965153,0.9618657375601138,0.9479360672267035,0.9956364470191524,0.9918499626390513
51,RF|SSL,,texas10_npz,0.7676533303700667,0.9405388163705958,0.9183354601964943,0.98927751951977,0.9811164047150767
52,LGBM,,texas1_npz,0.8922805269131272,0.9701358009854585,0.9592099580866376,0.9965473959496665,0.9934860493121698
53,SVC,,texas1_npz,0.8918561311817786,0.961907623282458,0.9480448292195229,0.9919429791087561,0.9879436450854833
54,bert-pretrained,texas,texas1_npz,0.8674279348595214,0.9593358170091736,0.9445564181178819,0.9923236558766152,0.9882940395098446
55,bert,,texas1_npz,0.8668527440290994,0.9529183191122862,0.9357126163629238,0.9923192442480419,0.9904910695319245
56,SVC|SSL,,texas1_npz,0.8520462705520895,0.9436485999278933,0.922896873477085,0.9888503921817211,0.9823995562763569
57,RF,,texas1_npz,0.8318117834777372,0.9588390818411249,0.9436729668181318,0.9932395717857602,0.9888839301352454
58,LGBM|SSL,,texas1_npz,0.7900373406311278,0.9419861394864399,0.920455913064661,0.9877842791841404,0.9753323715551288
59,RF|SSL,,texas1_npz,0.6610722433129076,0.9154068020670593,0.8831813590665567,0.9799355888810091,0.9652344942185619
60,bert-pretrained,texas,texas_npz,0.981857559475095,0.9934045226130653,0.9910310442601367,0.9996735384638028,0.9995118894093241
61,bert,california_npz,texas_npz,0.9728165055632737,0.991912688442211,0.9890067897319532,0.9997523961722933,0.9996588242552933
62,bert,,texas_npz,0.9712326257573297,0.9901656721105527,0.9866289781597513,0.9994744390615974,0.9993256985934248
63,bert,pastis_npz,texas_npz,0.9698397026481383,0.9895964195979899,0.9858397499317728,0.9995392655680453,0.9994281653631955
64,LGBM,,texas_npz,0.9630287777878219,0.9891449434673367,0.9852302412360854,0.9992943930118375,0.9990666526747851
65,SVC,,texas_npz,0.956166358887515,0.9841394472361809,0.9784093845528955,0.9978542227262361,0.9973936134849156
66,RF,,texas_npz,0.9522178493143585,0.9843357412060302,0.978661387475761,0.9979961087696722,0.99735886889413
67,bert,bert_npz,texas_npz,0.9285043730143175,0.9805668969849246,0.9735512120651534,0.9994472243285513,0.9992657345808125
68,bert,former_npz,texas_npz,0.9277200468400361,0.9798994974874372,0.9726628504368391,0.9993611720740361,0.9988226641582271
69,SVC|SSL,,texas_npz,0.9262481241197528,0.9739321608040201,0.964478774365024,0.9968916122405717,0.9956788452026767
70,LGBM|SSL,,texas_npz,0.8942226661647095,0.9676703831658291,0.955919962120136,0.9963914654205152,0.9944013797262782
71,RF|SSL,,texas_npz,0.8154697934975517,0.9494543027638191,0.9307039498540454,0.9914722756338928,0.985620257379189
